Date,btc_market_price,btc_trade_volume,btc_output_volume,btc_n_transactions,btc_n_transactions_excluding_chains_longer_than_100,btc_difficulty,btc_hash_rate,btc_miners_revenue,btc_cost_per_transaction,btc_transaction_fees,btc_median_confirmation_time,btc_cost_per_transaction_percent
2/23/2010 0:00,0,0,12600,252,252,2.527738215,3.15E-05,0,0,0,0,25100
2/24/2010 0:00,0,0,14800,196,196,3.781179252,3.57E-05,0,0,0,0,179.245283
2/25/2010 0:00,0,0,8100,150,150,3.781179252,2.78E-05,0,0,0,0,1057.142857
2/26/2010 0:00,0,0,29349,176,176,3.781179252,3.20E-05,0,0,0,0,64.5820591
2/27/2010 0:00,0,0,9101,176,176,3.781179252,3.25E-05,0,0,0,0,1922.222222
2/28/2010 0:00,0,0,13399,165,165,3.781179252,3.05E-05,0,0,0,0,154.2857143
3/1/2010 0:00,0,0,10300,187,187,3.781179252,3.50E-05,0,0,0,0,930
3/2/2010 0:00,0,0,12400,204,204,3.781179252,3.68E-05,0,0,0,0,376.9230769
3/3/2010 0:00,0,0,7650,151,151,3.781179252,2.78E-05,0,0,0,0,2960
3/4/2010 0:00,0,0,19400,187,187,3.781179252,3.42E-05,0,0,0,0,88.34951456
3/5/2010 0:00,0,0,27900,178,178,3.781179252,3.29E-05,0,0,0,0,45.69190601
3/6/2010 0:00,0,0,32797.39,188,188,3.781179252,3.44E-05,0,0,0,0,38.69496065
3/7/2010 0:00,0,0,16250,178,178,3.781179252,3.25E-05,0,0,0,0,114.4964407
3/8/2010 0:00,0,0,15845.18,141,141,4.53108175,3.06E-05,0,0,0,0,75.46684009
3/9/2010 0:00,0,0,11400,149,149,4.53108175,3.33E-05,0,0,0,0,185
3/10/2010 0:00,0,0,8850,152,152,4.53108175,3.36E-05,0,0,0,0,551.4433753
3/11/2010 0:00,0,0,11749.99,154,154,4.53108175,3.29E-05,0,0,0,0,167.7775224
3/12/2010 0:00,0,0,6150,119,119,4.53108175,2.66E-05,0,0,0,0,2360
3/13/2010 0:00,0,0,9800,160,160,4.53108175,3.56E-05,0,0,0,0,415.7894737
3/14/2010 0:00,0,0,7800,127,127,4.53108175,2.82E-05,0,0,0,0,403.2258065
3/15/2010 0:00,0,0,6302,128,128,4.53108175,2.79E-05,0,0,0,0,88571.42857
3/16/2010 0:00,0,0,6950,138,138,4.53108175,3.06E-05,0,0,0,0,4533.333333
3/17/2010 0:00,0,0,8301,127,127,4.53108175,2.77E-05,0,0,0,0,285.9135286
3/18/2010 0:00,0,0,8130,161,161,4.53108175,3.51E-05,0,0,0,0,3250
3/19/2010 0:00,0,0,15470,144,144,4.53108175,3.00E-05,0,0,0,0,75.3968254
3/20/2010 0:00,0,0,13696,203,203,4.53108175,4.35E-05,0,0,0,0,249.6120021
3/21/2010 0:00,0,0,11552,191,191,4.53108175,4.08E-05,0,0,0,0,577.5366943
3/22/2010 0:00,0,0,11500,186,186,4.56516291,4.02E-05,0,0,0,0,333.9622642
3/23/2010 0:00,0,0,13960.59,215,215,4.56516291,4.65E-05,0,0,0,0,276.7712007
3/24/2010 0:00,0,0,10076.34,187,187,4.56516291,3.95E-05,0,0,0,0,651.031923
3/25/2010 0:00,0,0,33800,197,197,4.56516291,4.22E-05,0,0,0,0,37.95918367
3/26/2010 0:00,0,0,12351,213,213,4.56516291,4.43E-05,0,0,0,0,389.6820195
3/27/2010 0:00,0,0,12950,182,182,4.56516291,3.95E-05,0,0,0,0,205.9386066
3/28/2010 0:00,0,0,11600,198,198,4.56516291,4.40E-05,0,0,0,0,510.5263158
3/29/2010 0:00,0,0,13250,205,205,4.56516291,4.36E-05,0,0,0,0,263.0136986
3/30/2010 0:00,0,0,11100,217,217,4.56516291,4.79E-05,0,0,0,0,1918.181818
3/31/2010 0:00,0,0,11400,213,213,4.56516291,4.70E-05,0,0,0,0,985.7142857
4/1/2010 0:00,0,0,10924.2,198,198,6.085476906,5.72E-05,0,0,0,0,641.3388712
4/2/2010 0:00,0,0,8800,155,155,6.085476906,4.48E-05,0,0,0,0,528.5714286
4/3/2010 0:00,0,0,10023.48,171,171,6.085476906,5.02E-05,0,0,0,0,496.4886884
