date,Price,volume,mktcap,avg_blk_size,no trnsactions,mempoolsize,mempoolcount,cost per trnsaction,difficulty,trnsct_vol,hash rate,miner rev,orph block,trnsction per blk,n_transction,n_uni_addres,trnsct_fee,gold
9/1/2010,0.0649,429.8832,251747.1000,0.00083229,408,,,1.399803922,623.3870,688,0.005454017,571.12,0,1,408,459,0.008437006,1250
9/3/2010,0.0634,53.5200,246914.4700,0.000530263,314,,,1.615286624,623.3870,1751,0.004958197,507.2,0,1,314,363,0,1252
9/5/2010,0.0629,507.5544,246039.6400,0.000532586,303,,,1.681485149,623.3870,862,0.005020175,509.49,0,2,303,351,0.000629,1252
9/7/2010,0.06185,207.4314,242922.0600,0.000515358,271,,,1.723127306,623.3870,1347,0.004679299,466.9675,0,1,271,284,0,1247.25
9/9/2010,0.0624,104.0100,246027.6000,0.000665894,343,,,1.373527697,712.8849,1015,0.005351093,471.12,0,2,343,383,0.006864,1253.5
9/11/2010,0.062,464.9484,245482.8000,0.000467784,296,,,1.696621622,712.8849,556,0.005740907,502.2,0,2,296,328,0,1248.75
9/13/2010,0.06201,604.5804,246598.2675,0.000844921,436,,,1.166243119,712.8849,1412,0.005811783,508.482,0,1,436,489,0,1243
9/15/2010,0.175,219.1110,699282.5000,0.000732112,450,,,3.655555556,712.8849,4780,0.006662287,1645,0,2,450,491,0,1270.4
9/17/2010,0.0609,435.7200,244586.5800,0.00043888,379,,,1.735408971,712.8849,1792,0.007654543,657.72,0,4,379,382,0,1281.5
9/19/2010,0.062599,771.1302,252809.1915,0.00048389,339,,,1.93890708,917.8307,2963,0.009581379,657.2895,0,2,339,379,0,1281.5
9/21/2010,0.0633,344.1570,256868.2350,0.001130322,636,,,0.880825472,917.8307,1236,0.008075734,560.205,0,2,636,743,6.33E-09,1278.75
9/23/2010,0.063,930.3198,256863.6000,0.001009344,698,,,0.956733524,917.8307,3306,0.00967263,667.8,0,2,698,801,0,1291.5
9/25/2010,0.0624,129.1500,255815.0400,0.000634817,451,,,1.397427938,917.8307,1066,0.009216374,630.24,0,2,451,499,0,1298
9/27/2010,0.062206,645.1350,256372.6981,0.000836063,639,,,1.158452895,917.8307,1445,0.010858896,740.2514,0,4,639,753,0.00124412,1298.25
9/29/2010,0.06219,1408.5384,257528.7900,0.002503362,998,,,0.551546784,1318.6701,4666,0.011602606,550.44369,0,2,998,1000,0.0640557,1307.5
10/1/2010,0.061999,103.0470,257658.5442,0.001072064,563,,,0.85895595,1318.6701,2350,0.010226025,483.5922,0,2,563,664,0.03471944,1313
10/3/2010,0.0614,430.3578,255875.2900,0.00119124,401,,,0.926359102,1318.6701,18961,0.007931725,371.47,0,2,401,501,0.000476963,1313
10/5/2010,0.06301,1651.5966,263457.4120,0.000970455,353,,,1.097766289,1318.6701,6490,0.008062828,387.5115,0,2,353,471,0,1325.75
10/7/2010,0.0638,2621.5788,267797.3100,0.000686948,370,,,1.491540541,1318.6701,7232,0.0113404,551.87,0,2,370,443,0,1359.5
10/9/2010,0.12001,16906.2255,505584.1285,0.00090849,382,,,2.403341623,1318.6701,14355,0.010029371,918.0765,0,1,382,468,0,1330.5
10/11/2010,0.1301,1409.2910,550283.9700,0.000633018,348,,,3.084267241,1318.6701,5806,0.010815988,1073.325,0,1,348,443,1.41809E-07,1348.5
10/13/2010,0.095,4755.7270,403384.2500,0.000674828,350,,,2.293571429,1378.0282,1954,0.011576864,802.75,0,1,350,446,0,1358.5
10/15/2010,0.119,2464.3330,507535.0000,0.000513108,333,,,3.305555556,1378.0282,7264,0.012672898,1100.75,0,2,333,407,0,1377.25
10/17/2010,0.1045,1822.2190,448414.7250,0.000486128,485,,,3.038041237,1378.0282,4489,0.019317607,1473.45,0,3,485,579,0,1377.25
10/19/2010,0.1024,623.5100,441984.0000,0.001261868,964,,,1.290622407,1378.0282,2720,0.016646023,1244.16,0,2,964,1240,0,1367.75
10/21/2010,0.109,4486.7000,473016.4000,0.000809506,602,,,2.109385382,2149.0218,6726,0.02489103,1269.85,0,2,602,745,0.00084651,1345.25
10/23/2010,0.10901,486.5817,474842.1095,0.00110546,623,,,1.52229053,2149.0218,2456,0.018588151,948.387,0,2,623,776,0.0054505,1319
10/25/2010,0.15,4544.9460,656385.0000,0.000634438,479,,,3.288100209,2149.0218,4299,0.022433975,1575,0,1,479,601,0,1345
10/27/2010,0.19,11809.0566,835734.0000,0.000904467,569,,,3.539543058,2149.0218,18235,0.022647632,2014,0,1,569,778,0,1332.25
