Category: All categories,
,
Country,Bitcoin: (1/1/12 - 11/28/17)
Bahamas,100
Nigeria,37
Slovenia,30
Ghana,30
South Africa,27
Estonia,21
Singapore,20
Netherlands,18
Australia,18
Austria,18
Latvia,17
Canada,17
Czechia,17
Pakistan,16
Ukraine,16
Philippines,16
Malaysia,16
New Zealand,15
Norway,15
Hong Kong,15
United States,15
Bangladesh,15
India,15
Russia,15
Israel,14
Switzerland,14
Ireland,14
Kenya,14
Bulgaria,13
South Korea,13
Lithuania,13
Sweden,13
United Kingdom,13
Venezuela,13
Finland,12
United Arab Emirates,12
Germany,12
Belarus,12
China,11
Denmark,11
Belgium,11
Slovakia,11
Croatia,11
Serbia,10
Taiwan,10
Bolivia,10
Kazakhstan,10
Romania,10
Colombia,10
Indonesia,9
Poland,8
Portugal,8
Tunisia,8
Vietnam,8
Dominican Republic,8
Brazil,8
Hungary,8
Morocco,8
Greece,7
Spain,7
Italy,6
Algeria,6
Japan,6
Thailand,6
France,6
Argentina,5
Ecuador,5
Turkey,5
Iran,5
Mexico,4
Egypt,4
Peru,4
Chile,4
Saudi Arabia,4
Aruba,
Afghanistan,
Angola,
Anguilla,
Åland Islands,
Albania,
Andorra,
Armenia,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Azerbaijan,
Burundi,
Benin,
Caribbean Netherlands,
Burkina Faso,
Bahrain,
Bosnia & Herzegovina,
St. Barthélemy,
Belize,
Bermuda,
Barbados,
Brunei,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
Côte d’Ivoire,
Cameroon,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Costa Rica,
Cuba,
Curaçao,
Christmas Island,
Cayman Islands,
Cyprus,
Djibouti,
Dominica,
Eritrea,
Western Sahara,
Ethiopia,
Fiji,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Gabon,
Georgia,
Guernsey,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Greenland,
Guatemala,
French Guiana,
Guam,
Guyana,
Heard & McDonald Islands,
Honduras,
Haiti,
Isle of Man,
British Indian Ocean Territory,
Iraq,
Iceland,
Jamaica,
Jersey,
Jordan,
Kyrgyzstan,
Cambodia,
Kiribati,
St. Kitts & Nevis,
Kuwait,
Laos,
Lebanon,
Liberia,
Libya,
St. Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Luxembourg,
Macau,
St. Martin,
Monaco,
Moldova,
Madagascar,
Maldives,
Marshall Islands,
Macedonia (FYROM),
Mali,
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Nicaragua,
Niue,
Nepal,
Nauru,
Oman,
Panama,
Pitcairn Islands,
Palau,
Papua New Guinea,
Puerto Rico,
North Korea,
Paraguay,
Palestine,
French Polynesia,
Qatar,
Réunion,
Rwanda,
Sudan,
Senegal,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Suriname,
Swaziland,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad & Tobago,
Tuvalu,
Tanzania,
Uganda,
U.S. Outlying Islands,
Uruguay,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
U.S. Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Zambia,
Zimbabwe,
