Category: All categories,
,
Day,Bitcoin: (Worldwide)
2/9/18,100
2/10/18,86
2/11/18,76
2/12/18,85
2/13/18,78
2/14/18,78
2/15/18,84
2/16/18,74
2/17/18,71
2/18/18,74
2/19/18,69
2/20/18,75
2/21/18,76
2/22/18,71
2/23/18,65
2/24/18,57
2/25/18,53
2/26/18,59
2/27/18,61
2/28/18,57
3/1/18,54
3/2/18,52
3/3/18,53
3/4/18,47
3/5/18,51
3/6/18,54
3/7/18,59
3/8/18,58
3/9/18,66
3/10/18,49
3/11/18,50
3/12/18,53
3/13/18,51
3/14/18,58
3/15/18,65
3/16/18,55
3/17/18,51
3/18/18,59
3/19/18,57
3/20/18,51
3/21/18,52
3/22/18,49
3/23/18,47
3/24/18,40
3/25/18,40
3/26/18,53
3/27/18,49
3/28/18,46
3/29/18,53
3/30/18,63
3/31/18,47
4/1/18,50
4/2/18,53
4/3/18,47
4/4/18,45
4/5/18,48
4/6/18,49
4/7/18,41
4/8/18,38
4/9/18,45
4/10/18,45
4/11/18,40
4/12/18,52
4/13/18,54
4/14/18,40
4/15/18,40
4/16/18,42
4/17/18,42
4/18/18,40
4/19/18,43
4/20/18,43
4/21/18,40
4/22/18,39
4/23/18,42
4/24/18,51
4/25/18,49
4/26/18,41
4/27/18,40
4/28/18,36
4/29/18,35
4/30/18,36
5/1/18,37
5/2/18,35
5/3/18,39
5/4/18,38
5/5/18,39
5/6/18,35
