Category: All categories,
,
Month,Bitcoin: (Worldwide)
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,2
2012-09,2
2012-10,2
2012-11,2
2012-12,2
2013-01,2
2013-02,3
2013-03,6
2013-04,17
2013-05,7
2013-06,5
2013-07,5
2013-08,5
2013-09,4
2013-10,8
2013-11,25
2013-12,29
2014-01,18
2014-02,21
2014-03,15
2014-04,9
2014-05,7
2014-06,7
2014-07,7
2014-08,7
2014-09,7
2014-10,7
2014-11,7
2014-12,7
2015-01,8
2015-02,7
2015-03,7
2015-04,6
2015-05,6
2015-06,6
2015-07,7
2015-08,7
2015-09,6
2015-10,7
2015-11,9
2015-12,9
2016-01,8
2016-02,8
2016-03,7
2016-04,7
2016-05,9
2016-06,12
2016-07,9
2016-08,9
2016-09,8
2016-10,9
2016-11,10
2016-12,12
2017-01,16
2017-02,14
2017-03,18
2017-04,15
2017-05,36
2017-06,36
2017-07,33
2017-08,49
2017-09,50
2017-10,53
2017-11,100
