Category: All categories,
"Bitcoin: (1/1/12 - 11/28/17, Worldwide)",
,
TOP,
Price,100
United States Dollar,58
Bitcoin network,23
Value,22
Mining,22
Wallet,19
Chart,15
Euro,14
Ethereum,14
Exchange rate,12
Indian rupee,11
Litecoin,11
Coin,10
Currency,9
BTC-e,9
Blockchain,9
investing,8
Pound sterling,8
Cash,8
Coinbase,8
Cryptocurrency,8
Share price,7
Australian dollar,5
Dogecoin,4
Canadian dollar,4
,
RISING,
Ethereum,Breakout
Coinbase,Breakout
Dogecoin,Breakout
Fork,Breakout
Pakistani rupee,Breakout
Bitstamp,Breakout
Kraken,Breakout
Xapo,Breakout
Ruble,Breakout
Malaysian ringgit,Breakout
Chert,Breakout
Safe,Breakout
Monero,Breakout
CoinDesk,Breakout
Ledger,Breakout
Litecoin,Breakout
Dash,Breakout
MMM,Breakout
Indian rupee,Breakout
Philippine peso,3300%
Canadian dollar,2500%
Bitcoin Core,2450%
Australian dollar,2200%
Cryptocurrency,2000%
